"","AHR","ARID1A","ARRDC3","ATL1","BAK1","BCL2L11","BCORL1","BPGM","CBFA2T3","CBL","CDKN1A","CDKN1B","CDKN1C","CEBPA","CEBPB","CEBPE","CELF2","CITED1","CKS1B","CLDN6","CNN1","CNNM4","COL1A1","COL2A1","CSRNP1","DLX2","DUSP9","EGR1","ETS2","FEV","FOSB","FOXA1","FOXA3","FOXF1","FOXL2","FOXO4","GLB1L2","HES7","HK2","HNF4A","HOXA13","HOXB9","HOXC13","IGDCC3","IKZF3","IRF1","ISL2","JUN","KIF2C","KIF18B","KLF1","KMT2A","LHX1","LYL1","MAML2","MAP2K3","MAP2K6","MAP4K3","MAP4K5","MAP7D1","MAPK1","MEIS1","MIDN","NCL","NIT1","OSR2","PLK4","POU3F2","PRDM1","PRTG","PTPN1","PTPN9","PTPN12","PTPN13","RHOXF2","RREB1","RUNX1T1","S1PR2","SAMD1","SET","SGK1","SLC4A1","SLC6A9","SLC38A2","SNAI1","SPI1","STIL","TBX2","TBX3","TGFBR2","TMSB4X","TP73","TSC22D1","UBASH3A","UBASH3B","ZBTB1","ZBTB10","ZBTB25","ZC3HAV1","ZNF318"
"AHR",0,0.988992361399193,0.995015767150785,0.991738241856139,0.992209229289961,0.99296391012084,0.993876086202828,0.99264883038182,0.993187672787739,0.993531664710656,0.991747158679656,0.993950152734513,0.990793069183622,0.944346246169036,0.98530324985759,0.979293020964493,0.992575014142343,0.993892298177958,0.990698810623663,0.991293864370559,0.991127831422179,0.993491093028604,0.985883442491449,0.985366898673059,0.98710135196359,0.991764844723695,0.988771558123464,0.995999356476388,0.991523046072076,0.988282619278375,0.991637257932149,0.995152775038356,0.995359453026004,0.99518295424284,0.994727793125966,0.992386375667567,0.99451192728635,0.982460253695409,0.993908068105453,0.98746933539383,0.987042497200639,0.99546954774707,0.992695912202987,0.99385635647027,0.981906841091473,0.985468593737462,0.994446962585099,0.993125704946583,0.993856338036621,0.994638545355465,0.987085322373616,0.994086838807693,0.992482436109603,0.993591555887802,0.990780676939804,0.985000023480087,0.988358979800082,0.994549002484214,0.994649796522643,0.992233401759949,0.987798692770254,0.995307610430153,0.992400903233619,0.993333616044995,0.984909490844784,0.989959259725184,0.993222970330207,0.995867356540826,0.987067155299101,0.993065020783618,0.990537279864664,0.994003925564735,0.992407317504911,0.993852716839905,0.991302474378333,0.993327082670662,0.993508373825514,0.992317542784266,0.994289036744935,0.98464909417417,0.995086947862824,0.987908618030972,0.992945142190644,0.990765538163079,0.993478751673997,0.98348667898932,0.995056033392814,0.990614360427043,0.988142399310473,0.992774801740916,0.99268678534689,0.972861684340752,0.994190598252437,0.994716691693192,0.994311894541284,0.992551167878924,0.987481741064616,0.993196614855601,0.988807978490703,0.993615774362199
"ARID1A",0.988992361399193,0,0.986948796089537,0.989875915144005,0.980803247333125,0.982010986180913,0.984259378327593,0.987161720787728,0.985469422107022,0.986722225053176,0.989334451843301,0.989801105653541,0.987936697512907,0.945920846830111,0.980721966316712,0.976048195405103,0.982717052226957,0.990080020326287,0.988848723475865,0.987928829660951,0.984454873656735,0.984037098113204,0.984032135477205,0.979473319800213,0.975039152171327,0.985420639557438,0.982589686633134,0.989150815636116,0.981698638858128,0.979847991475087,0.981279467242822,0.987571613522229,0.98999285164976,0.986508383750417,0.987779873158118,0.98991791848078,0.987232903346402,0.979142741587164,0.985382696583208,0.98558298189634,0.985659155615763,0.988747329454807,0.988622525469729,0.988465895623886,0.981367676601304,0.979429867661603,0.984200701460366,0.987784478076396,0.984301958946201,0.986445367009773,0.972979425746496,0.984740258609051,0.984564846415272,0.984696582734023,0.978690061484443,0.971302261011075,0.975092353983436,0.985297146131439,0.98578213519305,0.980718718248964,0.979758244732352,0.985966358356299,0.987866885088138,0.983348621581976,0.981620787948473,0.977092821139617,0.985692199251472,0.988717414446771,0.985548716867568,0.987266411062085,0.989836416697856,0.987689662277635,0.98598944847153,0.986541263131372,0.986618254846414,0.986666338861838,0.98340008680479,0.985926059094032,0.990279753851415,0.983842304134876,0.989943119015611,0.981373047345769,0.986002816592523,0.978171683686571,0.986177138200663,0.985172601931174,0.987864232430527,0.986003401733516,0.98070747698111,0.982101908332554,0.982683977803402,0.977219276299254,0.984687984739987,0.986173558143086,0.987563436874671,0.986371115808672,0.983023956701957,0.986508691827113,0.977220949487512,0.984755499115921
"ARRDC3",0.995015767150785,0.986948796089537,0,0.990936509228535,0.997011101609588,0.997737923616021,0.997291153167396,0.995479904146622,0.996734814146762,0.996901899812608,0.993721650684954,0.996297226240465,0.993060039383269,0.939220896831314,0.984214978965293,0.979583494525777,0.996431801824881,0.993693134369994,0.992897446609413,0.991424870547788,0.994699436598338,0.995976135081377,0.986133786280035,0.986324580028554,0.994574304448863,0.995989752310101,0.988486519734496,0.996946791944022,0.993959021599128,0.986934542766468,0.994507233196,0.997199401043577,0.995884370439329,0.998216341311464,0.995070935552531,0.993980965209127,0.997727817109089,0.979250647512326,0.99797378936094,0.989288646052208,0.981417356419409,0.99553393113801,0.989963118816997,0.995305795284724,0.976359071865426,0.988907781591251,0.997737153106387,0.993114121179274,0.99826576794015,0.998090817536895,0.991126152066188,0.997373401257745,0.99383590940607,0.997512439983977,0.996166418731311,0.991589754341343,0.993766950076649,0.998421023165963,0.998471649876237,0.99640147582995,0.98901039052861,0.997766345202074,0.990327220848057,0.997395518871067,0.986621226426382,0.991113252904481,0.996869838443674,0.996459192561891,0.984384416484225,0.993559818112147,0.99199633484602,0.9976746737721,0.996476390274201,0.995636898538523,0.989661171867809,0.996545529918882,0.998132877815769,0.993872628949462,0.99489854312269,0.989453123949638,0.995673051950941,0.992591792336114,0.996457591852868,0.99517589467684,0.994657071969717,0.981398958141361,0.997768773758841,0.994077703792425,0.992265643058898,0.997552522234897,0.996171277459267,0.963761961929044,0.997812350680204,0.998902836408391,0.998346479713291,0.99382821577622,0.983674158144735,0.997351943737429,0.995252049386399,0.997823593927784
"ATL1",0.991738241856139,0.989875915144005,0.990936509228535,0,0.984922710550791,0.986626845661114,0.987890674296873,0.992780796194647,0.985958983470521,0.993996469773605,0.993984688916553,0.99454837170969,0.992669143271334,0.938852662617677,0.979198042424065,0.973110677699624,0.985291946569349,0.991202580205191,0.991155215784076,0.996123869955862,0.992155719732236,0.989475652691556,0.981367138746992,0.976243182683387,0.979695970410643,0.98715786404835,0.994066755046665,0.992202833619977,0.980232162730413,0.982335045907365,0.982356523347798,0.992101573418113,0.993237698927258,0.989825583199206,0.990254151999555,0.993765296381155,0.99051992474135,0.975837318350711,0.989524291132581,0.988286404232842,0.987685856323085,0.989916275937209,0.992529986349087,0.99478638550951,0.988859135532552,0.982721017543276,0.987098233868169,0.990755012479552,0.988235603789515,0.991142390418253,0.981370976112166,0.989583346223682,0.98502390336796,0.989443137565716,0.983485894385499,0.975864245028855,0.978868759101574,0.990524692752869,0.991503943449066,0.984485538805708,0.975363917940254,0.990374093267837,0.988436321336293,0.987762903910213,0.982339801095933,0.978529983697516,0.989168611159852,0.993198998924509,0.991274385907681,0.994450499167395,0.994634820204519,0.991276062120298,0.991725247957157,0.989161851005491,0.992634740392427,0.992929479729317,0.98616171105395,0.991394448470808,0.994667566433193,0.983812990395754,0.99484706044473,0.983110967301304,0.988299838900111,0.982089063203955,0.987432204781196,0.984038536979978,0.990738914223167,0.987587806671172,0.9850275726007,0.98791048781011,0.985615894432774,0.979749513575269,0.989072442536262,0.990104364662639,0.992618665836329,0.992214616288713,0.984915756527007,0.992597466860013,0.981338174233539,0.989402117500179
"BAK1",0.992209229289961,0.980803247333125,0.997011101609588,0.984922710550791,0,0.999060828372964,0.997869802635561,0.993397955968241,0.99471778642828,0.994359913068969,0.988182845075917,0.992405076311342,0.987518140967568,0.929680963325966,0.978491373969279,0.973969371117888,0.995491662748375,0.988760165044707,0.987742687276113,0.986672691197944,0.992317103225287,0.99491023504261,0.982778896519936,0.985786843120854,0.997939260715845,0.993522115496974,0.98506833355483,0.994235863122338,0.993678927886303,0.986932665819006,0.993688583216158,0.995609087448591,0.992287032730332,0.997631818417868,0.991871401842757,0.988890828042426,0.99541061738627,0.973170070190381,0.996648615647911,0.982678712030593,0.973653673574559,0.99233490067688,0.983969513350807,0.991898191769313,0.968927238847678,0.987441775202897,0.99800799343085,0.989189775702481,0.998005994344782,0.996804602025559,0.992884497439154,0.996526880151437,0.9927178571799,0.996587605573448,0.998889621540408,0.99682141005043,0.998163721412798,0.997891874009583,0.997732970595929,0.998969376231239,0.987472206418381,0.997505408835982,0.98524574763,0.997442429635835,0.981587863538037,0.991730501689551,0.996032427400872,0.994044280107102,0.977910269595003,0.990141460135836,0.985617665675962,0.995274751203017,0.994188525661848,0.994631014443642,0.984447078366333,0.993590186653915,0.998499540225255,0.991741108880619,0.990475459733233,0.983931002547722,0.991613132612036,0.992035793294951,0.995138042080375,0.998634359629367,0.992358128513986,0.973400457484236,0.996461093847394,0.991525612607138,0.99067322326252,0.998827890890885,0.995911790033837,0.953764617455779,0.996810273121073,0.997974495536293,0.996264850458958,0.99124171060476,0.978027161031781,0.995592754713221,0.997417887877629,0.998003941654763
"BCL2L11",0.99296391012084,0.982010986180913,0.997737923616021,0.986626845661114,0.999060828372964,0,0.997954663710925,0.994580855932732,0.995225943404638,0.995648586192444,0.990115084855605,0.993805378030935,0.989494957100652,0.930586150413673,0.979465460076166,0.974784036205493,0.996009592086207,0.989928346832658,0.988921824660917,0.988430518896255,0.99367606086464,0.995611073877442,0.982726696283509,0.98532320039215,0.997671493778562,0.994086948377854,0.986918268908938,0.995212005292019,0.993691735226808,0.987495050553326,0.993948536646739,0.996353593304423,0.99328006823273,0.997869724381457,0.992651567174036,0.989880194535337,0.996418622486004,0.973858389538151,0.997599075250342,0.98425405348612,0.975523166713968,0.993264518383162,0.985584354591701,0.993308034887775,0.971271546783459,0.987948896642157,0.998187012410232,0.990409390929931,0.998527707812715,0.997630176478591,0.993162381006083,0.997335900010375,0.992509004618925,0.99742848039366,0.998716111999295,0.995826752145157,0.997374893661622,0.998500379893057,0.998367571108239,0.998458799288109,0.987416671983343,0.99805226552286,0.986326600747347,0.997913234834276,0.982346423696267,0.991526184068458,0.996337686660708,0.995052085170384,0.979676948428884,0.991701471241952,0.987484546642123,0.996412942692966,0.995363302456577,0.995003863187414,0.986375910458687,0.994661248569174,0.998665726632845,0.992721647557115,0.991705347327457,0.985759147929438,0.99297297589718,0.992667731897306,0.995913261133234,0.998300822176842,0.992715770872534,0.97470943726839,0.996796219165887,0.99227317000083,0.991269810345016,0.999062844892622,0.996441782611172,0.955625278378735,0.997527726981336,0.998646206649889,0.99730627084967,0.992499640287355,0.979148218093751,0.996621997118189,0.997642179292915,0.998589480968925
"BCORL1",0.993876086202828,0.984259378327593,0.997291153167396,0.987890674296873,0.997869802635561,0.997954663710925,0,0.993328344860814,0.995533635413578,0.994843468268636,0.990043780318028,0.993597184816593,0.989248306721472,0.936922165524743,0.982351930662132,0.977664235003205,0.995428475219341,0.991645871092841,0.989876185925641,0.988789204133661,0.992255810339245,0.994453077407799,0.985414299479285,0.987115504724903,0.995405591622355,0.994517108657789,0.986741497698625,0.99535502752071,0.993831143954995,0.987263549952781,0.994064552940406,0.996955135575514,0.994783522702527,0.99833944967071,0.995084726337127,0.991284370611687,0.996106469383395,0.977646581517371,0.996877550232082,0.985416935118216,0.979794966058853,0.994721087845831,0.988445178332616,0.992976716735919,0.972423148214735,0.987757615491629,0.997839056213104,0.992015619805714,0.997561909768551,0.997090454867052,0.990751939899719,0.996722872637254,0.993105005963752,0.996411876583267,0.99683143262724,0.993944202483098,0.995944035251547,0.997745329331536,0.997730181935066,0.997731353566442,0.988396093063049,0.997683967344056,0.988885600119969,0.997165491862489,0.984753849826396,0.991944321994146,0.996182033380278,0.995584357898732,0.981275225896307,0.991196472781508,0.987780345080385,0.995619589689375,0.994399998787173,0.995496828350272,0.987446107605302,0.994632116929938,0.997875743037092,0.993216859336517,0.992561823160181,0.985784561442204,0.993654785152596,0.991490504199442,0.99470246633355,0.996947466140254,0.993747790715075,0.977880169655823,0.997137278628993,0.992644212144831,0.991214870139565,0.997523514792625,0.995743888382268,0.95973936778418,0.997051190675416,0.997932304873029,0.996452294603707,0.992539358813202,0.982456364904977,0.99567220669734,0.995618522446071,0.997539189238594
"BPGM",0.99264883038182,0.987161720787728,0.995479904146622,0.992780796194647,0.993397955968241,0.994580855932732,0.993328344860814,0,0.990638381710334,0.997252166567374,0.993005314607971,0.995167822865627,0.991919127630746,0.929242185248498,0.977070409546721,0.971640829687393,0.991230826849128,0.989248575198808,0.992270602469307,0.993895040498565,0.997011714717415,0.995454670507874,0.980664998169539,0.979333843533068,0.990751908812326,0.990271942665777,0.991998819946322,0.994574887420638,0.986593479324185,0.986094695704665,0.988178209115933,0.994411020399263,0.99238185644223,0.993850892830916,0.989815503709039,0.991680972790181,0.994377653040235,0.971307198221659,0.995088231211215,0.986218233452419,0.97745182306172,0.990874091255079,0.98653858764913,0.995838958753742,0.982112684639075,0.986925894801063,0.992919026514542,0.99029982409449,0.99445439266161,0.995504552435987,0.990213627697639,0.994367959125378,0.988045970193516,0.995074512655913,0.993110358520087,0.988060841603312,0.989191256635118,0.995723503937876,0.995994454229437,0.992421200467942,0.980407758063394,0.994723763497228,0.984927822862979,0.993533169692943,0.980163638449924,0.983039952450462,0.993045736866985,0.994136309626324,0.987103812338773,0.995583593589561,0.994479471794186,0.996361483642311,0.997272645687584,0.993000611874186,0.98932149185749,0.995607783373106,0.993394635738675,0.993957707045079,0.994854644527045,0.98608707853412,0.994787403200801,0.987621869870964,0.994420818821474,0.99148684193015,0.98886743301071,0.978326903898707,0.993549210446849,0.992294576029133,0.988523235610457,0.995568253799743,0.991907624505061,0.965589355252894,0.994067656949895,0.995394720853605,0.997524191821972,0.994546326284474,0.977465144701344,0.997647069923281,0.990954954655124,0.995487917501742
"CBFA2T3",0.993187672787739,0.985469422107022,0.996734814146762,0.985958983470521,0.99471778642828,0.995225943404638,0.995533635413578,0.990638381710334,0,0.992188957384833,0.990411219379094,0.993218093459757,0.990270559686802,0.947955385693667,0.989131440689718,0.985486292916599,0.996740172546912,0.993979847718359,0.990712355479112,0.986138128794718,0.989233667426196,0.992934640409417,0.988140817909435,0.987898943010203,0.992665406310067,0.997169227711503,0.982119964670445,0.994462254564651,0.99558267768126,0.98202447590257,0.996114593164949,0.995388432075647,0.994775752441352,0.997289802671488,0.996113248544411,0.992970735208926,0.996488301810158,0.983217793609101,0.995766952165979,0.989078996894339,0.982176254675343,0.996204094517675,0.989416952681358,0.991487500985395,0.969751294734396,0.987502465339613,0.997173156758778,0.99236247892972,0.996142799849054,0.995642229184072,0.986007676942956,0.994686978955611,0.994033697347947,0.995168260474842,0.993150685034469,0.988389310272112,0.991294605274691,0.99596019314696,0.995644403949547,0.994276742093016,0.992246259189341,0.995393761615452,0.99213482295709,0.994944795049748,0.987127622310177,0.993388387563317,0.995078712892659,0.993746971648229,0.978129472493346,0.988729987123102,0.988026748547384,0.994938673372189,0.992012209999918,0.99450842335828,0.985928271033827,0.993916377575751,0.997737736840308,0.98989300690863,0.992058642543485,0.98817055099954,0.992671007272706,0.991431002573668,0.994412554070157,0.993615502292957,0.995777075573928,0.98311205244287,0.996337750479696,0.991861737291425,0.990786599443104,0.994248687151229,0.994300184459021,0.961175195042684,0.995861414399646,0.996943324875879,0.994785770846716,0.989706796379757,0.985215373274417,0.993302042806677,0.993283407298382,0.995164915246854
"CBL",0.993531664710656,0.986722225053176,0.996901899812608,0.993996469773605,0.994359913068969,0.995648586192444,0.994843468268636,0.997252166567374,0.992188957384833,0,0.994954751544572,0.996911779531489,0.99386612637808,0.931625780786803,0.978930153665925,0.973625516490404,0.992828863340786,0.991287512757978,0.992790562553867,0.994944496468963,0.997392686310072,0.994999435261175,0.980696571803258,0.980005468511272,0.991716904211353,0.99228688577434,0.993159241959131,0.996068898458662,0.987970419962203,0.986693937803961,0.98973909606025,0.995989208675526,0.994511828316143,0.99550233948485,0.992413788097531,0.993140596720236,0.99594879411371,0.973921846995511,0.996707531645697,0.988646587934998,0.980906671030379,0.992777224827861,0.989773285300623,0.99662142758392,0.981891780700681,0.987894459903225,0.994402667320321,0.991939284272473,0.996139954431591,0.996982918799163,0.990726925735961,0.996130237938444,0.990165107215922,0.996428745647781,0.993828421340243,0.988236624485754,0.989962367564978,0.997080526374808,0.99734722314536,0.993065039823559,0.981705884660654,0.996367625704033,0.987174350362732,0.995121581111148,0.98265919944726,0.984892874064792,0.994588791731987,0.996074964758335,0.987990877383288,0.995848366397334,0.99476185335852,0.997376522317807,0.997954192369217,0.993497141504834,0.991785269074744,0.996673613012472,0.994807375460336,0.99449405346874,0.995643039805229,0.988219482922544,0.996202018218798,0.989707333866207,0.995433251338939,0.992525002104254,0.990710139308763,0.979566458876135,0.995088436895413,0.992920724884397,0.99043090926143,0.996323047814991,0.993598892841211,0.966311128838532,0.995752592858804,0.997100635944403,0.998648537919467,0.995580180999757,0.98126485216313,0.998222072102005,0.992495883367854,0.996712584777277
