"","AHR","ARID1A","ARRDC3","ATL1","BAK1","BCL2L11","BCORL1","BPGM","CBFA2T3","CBL","CDKN1A","CDKN1B","CDKN1C","CEBPA","CEBPB","CEBPE","CELF2","CITED1","CKS1B","CLDN6","CNN1","CNNM4","COL1A1","COL2A1","CSRNP1","DLX2","DUSP9","EGR1","ETS2","FEV","FOSB","FOXA1","FOXA3","FOXF1","FOXL2","FOXO4","GLB1L2","HES7","HK2","HNF4A","HOXA13","HOXB9","HOXC13","IGDCC3","IKZF3","IRF1","ISL2","JUN","KIF2C","KIF18B","KLF1","KMT2A","LHX1","LYL1","MAML2","MAP2K3","MAP2K6","MAP4K3","MAP4K5","MAP7D1","MAPK1","MEIS1","MIDN","NCL","NIT1","OSR2","PLK4","POU3F2","PRDM1","PRTG","PTPN1","PTPN9","PTPN12","PTPN13","RHOXF2","RREB1","RUNX1T1","S1PR2","SAMD1","SET","SGK1","SLC4A1","SLC6A9","SLC38A2","SNAI1","SPI1","STIL","TBX2","TBX3","TGFBR2","TMSB4X","TP73","TSC22D1","UBASH3A","UBASH3B","ZBTB1","ZBTB10","ZBTB25","ZC3HAV1","ZNF318"
"AHR",0,0.000420344682639765,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.0144288577154309,0.0867745535714286,0,0.5,0.5,0.14669174217815,0.5,0.180493491354187,0.0300528401585205,0.111264876833656,0.000416319733555371,0.14874682164911,0,0.0528931487397941,0,0.5,0.5,0.089502427184466,0.5,0,0.5,0.5,0.0900243309002433,0.0292186474064347,0,0,0.00413564929693962,0.000419111483654652,0.0516431924882629,0.5,0,0,0,0,0,0,0,0.16854623744105,0.5,0.00167294019238812,0,0.5,0,0.5,0.5,0,0,0,0,0,0.0279646017699115,0.5,0,0,0,0.5,0,0,0,0,0.00125523012552301,0.5,0,0.101632951498903,0.0218926553672316,0,0,0.0641785838855947,0.0163551401869159,0,0.5,0.0150057714505579,0,0.0192236598890943,0.5,0.5
"ARID1A",0.000420344682639765,0,0,0,0,0,0,0,0,0,0.5,0,0,0.000876040297853701,0.000693000693000693,0.00217391304347826,0,0,0,0,0,0,0,0,0.00632911392405063,0,0,0.5,0.5,0.000461573967228248,0.5,0.000810591731964334,0.00134048257372654,0.000609013398294762,0,0.000253036437246964,0,0,0,0.5,0.5,0,0.5,0,0.5,0.5,0,0.00131233595800525,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0.000512163892445583,0.000405926527298559,0,0,0,0,0,0.00188323917137476,0.5,0,0,0,0,0,0,0,0,0,0.000283527076835838,0,0.000931966449207828,0.00191938579654511,0,0,0.00147492625368732,0,0,0,0,0,0,0,0.5
"ARRDC3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
"BAK1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
"BCL2L11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BCORL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
"BPGM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CBFA2T3",0,0,0,0,0,0,0,0,0,0,0,0,0,0.000438212094653812,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000307031010132023,0.000269323996768112,0.5,0,0,0,0.5,0,0.000253164556962025,0,0,0,0.000391849529780564,0,0,0,0,0,0.000270124257158293,0.000603500301750151,0,0,0,0,0,0.00101522842639594,0.5,0,0,0,0,0,0,0,0.000300842358604091,0,0,0,0,0,0.00051242633871381,0.000203004466098254,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.000283607487237663,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
"CBL",0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
"CDKN1A",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0.5,0.5,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0
"CDKN1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0
"CDKN1C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
"CEBPA",0.5,0.000876040297853701,0,0,0,0,0,0,0.000438212094653812,0,0.5,0,0,0,0.5,0.113913751017087,0,0.5,0,0,0,0,0,0,0.0154230929553981,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.130660513412172,0.00260642919200695,0.163398692810458,0,0.0316205533596838,0,0.5,0.135895676046671,0.112313076678333,0.12632617813965,0,0.5,0.159527040124055,0.0933074146070536,0.0540915395284327,0.5,0.5,0.00344086021505376,0.5,0.0676913015042512,0.00676246830092984,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0,0.0471401634192332,0,0.188088376560999,0.5,0,0.5,0,0.5,0,0.0327205882352941,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0.5,0,0.107634543178974,0.0207877461706783,0,0,0.5,0.0153411384739604,0,0,0.5,0,0.5,0.000438020148926851,0.0241815476190476
"CEBPB",0.5,0.000693000693000693,0.5,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0.10047488127968,0,0.5,0.5,0.5,0.0492390331244405,0.5,0.0318634423897582,0.123168611869878,0.00344708721130645,0.5,0,0.0238726790450928,0,0.5,0.5,0.5,0.113073443894034,0,0.0728784543898264,0.5,0.0929224843524314,0.5,0.5,0,0.00273224043715847,0.000345542501727712,0.5,0.00538901987201078,0,0,0,0,0,0,0,0.5,0,0.000344589937973811,0,0.0690029883183917,0,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.000346740638002774,0,0,0,0,0,0.5,0,0.5,0.5,0,0.0937567979116815,0.5,0,0.5,0.0646126233921627,0.0113525786571521,0,0,0.0128783000643915,0,0.0168171909062597,0.5,0.022235759975632
"CEBPE",0.5,0.00217391304347826,0,0,0,0,0,0,0,0,0,0,0,0.113913751017087,0.5,0,0,0,0,0,0,0,0,0,0.0234113712374582,0.0663788451160281,0,0.0370425468610533,0.5,0.0347957639939486,0.0562560620756547,0.0637154554759468,0.0380622837370242,0.0704800817160368,0.00623700623700624,0.0530592734225621,0,0.0155189136760427,0,0.0419711448379239,0.0490981963927856,0.0609137055837563,0.0526113671274962,0,0.5,0.0539923954372624,0.0292255236239649,0.0685413005272408,0,0,0,0.00214132762312634,0.0404332129963899,0.00540540540540541,0,0,0,0,0,0,0,0.5,0,0,0,0.0350034317089911,0,0.0483289252224092,0.0456576646590247,0,0.5,0,0,0,0.0324947589098532,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.00827300930713547,0,0,0.0356816102470265,0.00582241630276565,0,0,0.00700280112044818,0,0.00479616306954436,0,0.0130861504907306
"CELF2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CITED1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
