tag,split,seed,relations,use_graph,project,shrink_tau,shuffle_graph,global_scale,alpha,scale,s1_pearson,s1_r2,pearson,r2,epochs,wall_s,w_regulatory,w_ppi,w_cofunctional,w_profile,config
ablation,1,0,regulatory+ppi+cofunctional+profile,True,True,1.0,False,True,1000.0,0.6451727747917175,0.49952420592308044,0.2610759735107422,0.37143781781196594,0.10531151294708252,311,99.6,0.23095017671585083,0.30086496472358704,0.27588069438934326,0.19230420887470245,all relations
ablation,2,0,regulatory+ppi+cofunctional+profile,True,True,1.0,False,True,1000.0,0.8093975782394409,0.5575173497200012,0.36117124557495117,0.39073097705841064,0.10433465242385864,281,96.2,0.22347167134284973,0.28520190715789795,0.27249523997306824,0.21883118152618408,all relations
ablation,3,0,regulatory+ppi+cofunctional+profile,True,True,1.0,False,True,1000.0,0.7380110025405884,0.4718060791492462,0.27506202459335327,0.3750047981739044,0.09596908092498779,651,87.0,0.28049811720848083,0.2954176366329193,0.2746351957321167,0.1494491845369339,all relations
ablation,1,0,regulatory+ppi+cofunctional+profile,False,True,1.0,False,True,1000.0,0.6451727747917175,0.49952420592308044,0.2610759735107422,0.49952420592308044,0.2610759735107422,0,86.2,,,,,no graph (ridge only)
ablation,2,0,regulatory+ppi+cofunctional+profile,False,True,1.0,False,True,1000.0,0.8093975782394409,0.5575173497200012,0.36117124557495117,0.5575173497200012,0.36117124557495117,0,79.0,,,,,no graph (ridge only)
ablation,3,0,regulatory+ppi+cofunctional+profile,False,True,1.0,False,True,1000.0,0.7380110025405884,0.4718060791492462,0.27506202459335327,0.4718060791492462,0.27506202459335327,0,79.3,,,,,no graph (ridge only)
ablation,1,0,regulatory+ppi+cofunctional+profile,True,True,1.0,True,True,1000.0,0.6451727747917175,0.49952420592308044,0.2610759735107422,0.37143778800964355,0.11172562837600708,291,83.6,0.2301480770111084,0.2763473391532898,0.2824193239212036,0.211085245013237,shuffled graph
ablation,2,0,regulatory+ppi+cofunctional+profile,True,True,1.0,True,True,1000.0,0.8093975782394409,0.5575173497200012,0.36117124557495117,0.39073097705841064,0.11633318662643433,261,80.5,0.23424650728702545,0.269877165555954,0.254772424697876,0.2411039024591446,shuffled graph
ablation,3,0,regulatory+ppi+cofunctional+profile,True,True,1.0,True,True,1000.0,0.7380110025405884,0.4718060791492462,0.27506202459335327,0.3750047981739044,0.10171055793762207,441,82.5,0.18678343296051025,0.33841484785079956,0.31099891662597656,0.1638028770685196,shuffled graph
ablation,1,0,regulatory,True,True,1.0,False,True,1000.0,0.6451727747917175,0.49952420592308044,0.2610759735107422,0.37143781781196594,0.1015094518661499,341,79.7,1.0,,,,regulatory only
ablation,2,0,regulatory,True,True,1.0,False,True,1000.0,0.8093975782394409,0.5575173497200012,0.36117124557495117,0.39073097705841064,0.1052888035774231,301,78.2,1.0,,,,regulatory only
ablation,3,0,regulatory,True,True,1.0,False,True,1000.0,0.7380110025405884,0.4718060791492462,0.27506202459335327,0.3750047981739044,0.106536865234375,401,78.1,1.0,,,,regulatory only
ablation,1,0,ppi,True,True,1.0,False,True,1000.0,0.6451727747917175,0.49952420592308044,0.2610759735107422,0.37143781781196594,0.10664200782775879,261,74.8,,1.0,,,ppi only
ablation,2,0,ppi,True,True,1.0,False,True,1000.0,0.8093975782394409,0.5575173497200012,0.36117124557495117,0.39073094725608826,0.09595882892608643,521,79.6,,1.0,,,ppi only
ablation,3,0,ppi,True,True,1.0,False,True,1000.0,0.7380110025405884,0.4718060791492462,0.27506202459335327,0.37500476837158203,0.12046295404434204,291,78.4,,1.0,,,ppi only
ablation,1,0,cofunctional,True,True,1.0,False,True,1000.0,0.6451727747917175,0.49952420592308044,0.2610759735107422,0.37143781781196594,0.10835087299346924,281,77.3,,,1.0,,cofunctional only
ablation,2,0,cofunctional,True,True,1.0,False,True,1000.0,0.8093975782394409,0.5575173497200012,0.36117124557495117,0.39073097705841064,0.10709702968597412,471,78.0,,,1.0,,cofunctional only
ablation,3,0,cofunctional,True,True,1.0,False,True,1000.0,0.7380110025405884,0.4718060791492462,0.27506202459335327,0.37500476837158203,0.09618937969207764,301,78.4,,,1.0,,cofunctional only
ablation,1,0,profile,True,True,1.0,False,True,1000.0,0.6451727747917175,0.49952420592308044,0.2610759735107422,0.37143781781196594,0.1043969988822937,351,79.6,,,,1.0,profile only
ablation,2,0,profile,True,True,1.0,False,True,1000.0,0.8093975782394409,0.5575173497200012,0.36117124557495117,0.39073100686073303,0.1078994870185852,591,79.0,,,,1.0,profile only
ablation,3,0,profile,True,True,1.0,False,True,1000.0,0.7380110025405884,0.4718060791492462,0.27506202459335327,0.37500476837158203,0.10299336910247803,341,78.0,,,,1.0,profile only
ablation,1,0,regulatory+ppi+cofunctional+profile,True,False,1.0,False,True,1000.0,0.6451727747917175,0.49952420592308044,0.2610759735107422,0.49952420592308044,0.11247962713241577,261,85.1,0.23971432447433472,0.2654586136341095,0.24896226823329926,0.24586473405361176,no projection
ablation,2,0,regulatory+ppi+cofunctional+profile,True,False,1.0,False,True,1000.0,0.8093975782394409,0.5575173497200012,0.36117124557495117,0.5575173497200012,0.2639998197555542,271,98.0,0.2235282063484192,0.2748316824436188,0.26814937591552734,0.23349080979824066,no projection
ablation,3,0,regulatory+ppi+cofunctional+profile,True,False,1.0,False,True,1000.0,0.7380110025405884,0.4718060791492462,0.27506202459335327,0.4718060791492462,0.22339051961898804,281,96.9,0.24549716711044312,0.2656579315662384,0.268669068813324,0.2201758623123169,no projection
ablation,1,0,regulatory+ppi+cofunctional+profile,True,True,1.0,False,False,1000.0,1.0,0.49952420592308044,0.17650914192199707,0.37143781781196594,0.11148601770401001,261,96.8,0.2388930767774582,0.26355335116386414,0.24183863401412964,0.25571492314338684,no global scale
ablation,2,0,regulatory+ppi+cofunctional+profile,True,True,1.0,False,False,1000.0,1.0,0.5575173497200012,0.3067227005958557,0.39073097705841064,0.10763919353485107,421,97.5,0.23737040162086487,0.29262328147888184,0.2913561165332794,0.17865024507045746,no global scale
ablation,3,0,regulatory+ppi+cofunctional+profile,True,True,1.0,False,False,1000.0,1.0,0.4718060791492462,0.24265974760055542,0.3750047981739044,0.0987733006477356,511,98.5,0.28956469893455505,0.2970751225948334,0.2429431974887848,0.17041704058647156,no global scale
