method,family,r_residual,r_residual_sd,r_total,sign_acc,n_splits
ridge (cross-fitted),baseline,0.4878357126875515,0.055215018235992216,0.9956299887092503,0.8466774193548388,5
uce,published,0.416556054353714,0.03579320207189537,0.986605167388916,0.7782258064516129,5
scbert,published,0.41653953194618226,0.03582670529514897,0.9866051554679871,0.7781935483870968,5
uce33,published,0.4165117859840393,0.03585724343319928,0.986604118347168,0.7781935483870968,5
scgpt,published,0.3873381793498993,0.043590131016613735,0.9859674572944641,0.7476129032258065,5
gears,published,0.3845462739467621,0.06934277383078755,0.986883533000946,0.7780322580645161,5
geneformer,published,0.37929403185844424,0.052190444774239515,0.9915737032890319,0.7788387096774193,5
scfoundation,published,0.29667515158653257,0.025291976688501392,0.9822661280632019,0.7350322580645161,5
cpa,published,0.25954554677009584,0.028506938574045036,0.9569549918174743,0.699967741935484,5
mean residual,baseline,0.2186035543680191,0.024652191915340956,,0.6973548387096774,5
additive (zero),baseline,0.0,0.0,0.9945052862167358,0.5,5
