split,method,family,r_residual,r_total,sign_acc,n_pairs,alpha
1,gears,published,0.2758684456348419,0.9771594405174255,0.7261290322580645,31,
1,cpa,published,0.24221046268939972,0.9558999538421631,0.655483870967742,31,
1,scgpt,published,0.34130656719207764,0.9837772846221924,0.7008064516129032,31,
1,scfoundation,published,0.3232119083404541,0.9853528141975403,0.7241935483870968,31,
1,geneformer,published,0.3562178909778595,0.992295503616333,0.7762903225806451,31,
1,uce,published,0.38186153769493103,0.9855011105537415,0.7482258064516129,31,
1,uce33,published,0.3816685974597931,0.9854995012283325,0.7480645161290322,31,
1,scbert,published,0.38175615668296814,0.9855045080184937,0.7480645161290322,31,
1,additive (zero),baseline,0.0,0.9946136474609375,0.5,31,
1,mean residual,baseline,0.17806895077228546,,0.6630645161290323,31,
1,ridge (cross-fitted),baseline,0.4995241955028709,0.9953185300047395,0.8638709677419355,31,1000.0
2,gears,published,0.4422251284122467,0.9905784726142883,0.832258064516129,31,
2,cpa,published,0.2816981375217438,0.95512455701828,0.7441935483870967,31,
2,scgpt,published,0.40651923418045044,0.9865527153015137,0.7738709677419355,31,
2,scfoundation,published,0.28466570377349854,0.9787190556526184,0.7756451612903226,31,
2,geneformer,published,0.44539642333984375,0.9935398101806641,0.8308064516129032,31,
2,uce,published,0.4400217831134796,0.9864345788955688,0.8185483870967742,31,
2,uce33,published,0.43984439969062805,0.9864339232444763,0.8183870967741935,31,
2,scbert,published,0.4398861527442932,0.9864345788955688,0.8183870967741935,31,
2,additive (zero),baseline,0.0,0.9944469332695007,0.5,31,
2,mean residual,baseline,0.23212195932865143,,0.7156451612903226,31,
2,ridge (cross-fitted),baseline,0.5575173943396222,0.9959001017307145,0.8975806451612903,31,1000.0
3,gears,published,0.412575900554657,0.9884068369865417,0.7483870967741936,31,
3,cpa,published,0.2529834806919098,0.9568735957145691,0.6782258064516129,31,
3,scgpt,published,0.3840894103050232,0.9869256019592285,0.7270967741935483,31,
3,scfoundation,published,0.31625887751579285,0.985014021396637,0.73,31,
3,geneformer,published,0.4051075875759125,0.9935736060142517,0.7996774193548387,31,
3,uce,published,0.3906998038291931,0.9861527681350708,0.7558064516129033,31,
3,uce33,published,0.39058393239974976,0.9861440062522888,0.7556451612903226,31,
3,scbert,published,0.39062103629112244,0.9861454367637634,0.7558064516129033,31,
3,additive (zero),baseline,0.0,0.9946603178977966,0.5,31,
3,mean residual,baseline,0.23153075575828552,,0.7006451612903226,31,
3,ridge (cross-fitted),baseline,0.4718060631134868,0.9958382908415879,0.8480645161290322,31,1000.0
4,gears,published,0.3570020794868469,0.99045729637146,0.7688709677419355,31,
4,cpa,published,0.2256704717874527,0.9595658779144287,0.6640322580645162,31,
4,scgpt,published,0.35416939854621887,0.9875230193138123,0.7267741935483871,31,
4,scfoundation,published,0.2989199757575989,0.9841852784156799,0.7285483870967742,31,
4,geneformer,published,0.30641937255859375,0.9884982705116272,0.7419354838709677,31,
4,uce,published,0.40336477756500244,0.9886683225631714,0.7504838709677419,31,
4,uce33,published,0.4035179316997528,0.9886704087257385,0.7508064516129033,31,
4,scbert,published,0.40351709723472595,0.9886709451675415,0.7504838709677419,31,
4,additive (zero),baseline,0.0,0.9951610565185547,0.5,31,
4,mean residual,baseline,0.21263347566127777,,0.6725806451612903,31,
4,ridge (cross-fitted),baseline,0.4061195866172753,0.9957478001964362,0.7787096774193548,31,1000.0
5,gears,published,0.4350598156452179,0.9878156185150146,0.8145161290322581,31,
5,cpa,published,0.29516518115997314,0.9573109745979309,0.7579032258064516,31,
5,scgpt,published,0.4506062865257263,0.9850586652755737,0.8095161290322581,31,
5,scfoundation,published,0.2603192925453186,0.9780594706535339,0.7167741935483871,31,
5,geneformer,published,0.3833288848400116,0.9899613261222839,0.7454838709677419,31,
5,uce,published,0.46683236956596375,0.9862690567970276,0.8180645161290323,31,
5,uce33,published,0.4669440686702728,0.9862727522850037,0.8180645161290323,31,
5,scbert,published,0.4669172167778015,0.9862703084945679,0.8182258064516129,31,
5,additive (zero),baseline,0.0,0.9936444759368896,0.5,31,
5,mean residual,baseline,0.23866263031959534,,0.7348387096774194,31,
5,ridge (cross-fitted),baseline,0.5042113238645023,0.9953452207727739,0.8451612903225807,31,1000.0
