seed,experiment,method,n_train,n_test,r2
0,A:warm,effect magnitude,86953,20000,-9.799456511472293e-05
0,A:warm,+ curated graph,86953,20000,0.0013307708365335458
0,A:warm,+ inferred graph,86953,20000,0.02730470016693365
0,A:warm,+ low-rank completion,86953,20000,0.4929665323504475
0,A:warm,+ curated & inferred,86953,20000,0.49301982772389275
0,A:cold,effect magnitude,69006,37947,-0.0016250070747998446
0,A:cold,+ curated graph,69006,37947,-0.0008003605400577207
0,A:cold,+ inferred graph,69006,37947,-0.00031346684069477604
0,A:cold,+ low-rank completion,69006,37947,-0.0006423513452544771
0,A:cold,+ curated & inferred,69006,37947,0.00015299269192969867
0,B:K562,effect magnitude,84196,20000,0.00036995609300771726
0,B:K562,+ curated graph,84196,20000,0.005336694999414471
0,B:K562,+ inferred (same assay),84196,20000,0.5131757618419552
0,B:K562,+ inferred (transferred),84196,20000,0.058697424547865085
1,A:warm,effect magnitude,86953,20000,0.0005653641245615404
1,A:warm,+ curated graph,86953,20000,0.0018233827387352797
1,A:warm,+ inferred graph,86953,20000,0.02427960295094722
1,A:warm,+ low-rank completion,86953,20000,0.4814984176408257
1,A:warm,+ curated & inferred,86953,20000,0.48171112132028293
1,A:cold,effect magnitude,68635,38318,-0.0006183897278766448
1,A:cold,+ curated graph,68635,38318,-0.0002214230319377286
1,A:cold,+ inferred graph,68635,38318,-0.00138393467973974
1,A:cold,+ low-rank completion,68635,38318,6.270842575228919e-05
1,A:cold,+ curated & inferred,68635,38318,-0.000950631968390736
1,B:K562,effect magnitude,84196,20000,0.0004137074226868709
1,B:K562,+ curated graph,84196,20000,0.00493042523251086
1,B:K562,+ inferred (same assay),84196,20000,0.4995343316928329
1,B:K562,+ inferred (transferred),84196,20000,0.051899589845241234
2,A:warm,effect magnitude,86953,20000,0.0001888324111740669
2,A:warm,+ curated graph,86953,20000,0.0016627723518397586
2,A:warm,+ inferred graph,86953,20000,0.025331075153790628
2,A:warm,+ low-rank completion,86953,20000,0.4907415402140841
2,A:warm,+ curated & inferred,86953,20000,0.49101950006011696
2,A:cold,effect magnitude,68635,38318,-0.0033523496994753987
2,A:cold,+ curated graph,68635,38318,-0.0031428718763308883
2,A:cold,+ inferred graph,68635,38318,-0.0014859291592062007
2,A:cold,+ low-rank completion,68635,38318,-0.0012679076051600457
2,A:cold,+ curated & inferred,68635,38318,-0.001147831731055593
2,B:K562,effect magnitude,84196,20000,0.0006021842450039117
2,B:K562,+ curated graph,84196,20000,0.004346860438675826
2,B:K562,+ inferred (same assay),84196,20000,0.5045852869452885
2,B:K562,+ inferred (transferred),84196,20000,0.05482970332575432
