seed,n,config,r2
0,200,effect magnitude,-0.0017242033743150031
0,200,+ literature graph,-0.001727492070084713
0,200,+ literature (shuffled),-0.0017236702778102853
0,200,+ data-derived graph,-0.001727492070084713
0,200,+ data-derived (shuffled),-0.001727492070084713
0,600,effect magnitude,-0.0005602028266493697
0,600,+ literature graph,-0.0005618110480227756
0,600,+ literature (shuffled),-0.0005624227500407031
0,600,+ data-derived graph,-0.000561811060146189
0,600,+ data-derived (shuffled),-0.0005618110468668114
0,2000,effect magnitude,-7.362189771620287e-05
0,2000,+ literature graph,-6.233300807956255e-05
0,2000,+ literature (shuffled),-7.375139071141845e-05
0,2000,+ data-derived graph,-6.256974536600346e-05
0,2000,+ data-derived (shuffled),-6.234902442314727e-05
0,6000,effect magnitude,-0.00011218202851748238
0,6000,+ literature graph,-0.00010539601769798956
0,6000,+ literature (shuffled),-0.00011885488879159745
0,6000,+ data-derived graph,-0.00010513160773917285
0,6000,+ data-derived (shuffled),-0.00010578007374051346
0,20000,effect magnitude,-0.0001433722735826315
0,20000,+ literature graph,0.0009141928949805145
0,20000,+ literature (shuffled),-0.00014493226052025854
0,20000,+ data-derived graph,0.0015582945281504834
0,20000,+ data-derived (shuffled),0.000914517966984052
0,60000,effect magnitude,-2.671082914940115e-05
0,60000,+ literature graph,0.0013263105532462793
0,60000,+ literature (shuffled),-4.165350928175826e-06
0,60000,+ data-derived graph,0.01458803607362491
0,60000,+ data-derived (shuffled),0.0013319153399237171
0,86953,effect magnitude,-9.799456511450089e-05
0,86953,+ literature graph,0.0013307708365337678
0,86953,+ literature (shuffled),-0.00020860878191442112
0,86953,+ data-derived graph,0.029356740464019926
0,86953,+ data-derived (shuffled),0.001330730127344859
1,200,effect magnitude,-5.1093705969229575e-05
1,200,+ literature graph,0.0005948884375100993
1,200,+ literature (shuffled),-4.6765777907520345e-05
1,200,+ data-derived graph,0.0005948884375100993
1,200,+ data-derived (shuffled),0.0005948884375100993
1,600,effect magnitude,-0.000336897813976611
1,600,+ literature graph,0.00022568873276729295
1,600,+ literature (shuffled),-0.0003257297379697377
1,600,+ data-derived graph,0.00022568059487737546
1,600,+ data-derived (shuffled),0.00022569032082930818
1,2000,effect magnitude,-0.001206469820594469
1,2000,+ literature graph,-0.0003939202439684486
1,2000,+ literature (shuffled),-0.001201971431110005
1,2000,+ data-derived graph,-0.0004218001102154201
1,2000,+ data-derived (shuffled),-0.0004318013577577773
1,6000,effect magnitude,0.0001604644264000532
1,6000,+ literature graph,0.00094994967885631
1,6000,+ literature (shuffled),8.730409953194851e-06
1,6000,+ data-derived graph,0.0007110281805678964
1,6000,+ data-derived (shuffled),0.0008722332029201807
1,20000,effect magnitude,0.000554563107660333
1,20000,+ literature graph,0.001170243442899399
1,20000,+ literature (shuffled),0.0003967922078437214
1,20000,+ data-derived graph,0.0024105968815375522
1,20000,+ data-derived (shuffled),0.0011433209507885067
1,60000,effect magnitude,0.0005457086735008998
1,60000,+ literature graph,0.001760363570136203
1,60000,+ literature (shuffled),0.00054107702757622
1,60000,+ data-derived graph,0.014157477939305774
1,60000,+ data-derived (shuffled),0.0016965056545925616
1,86953,effect magnitude,0.0005653641245615404
1,86953,+ literature graph,0.0018233827387350576
1,86953,+ literature (shuffled),0.0005590996227879952
1,86953,+ data-derived graph,0.02621974428693219
1,86953,+ data-derived (shuffled),0.0018953548599986991
2,200,effect magnitude,-0.0007705968111197947
2,200,+ literature graph,-0.0006474925381851904
2,200,+ literature (shuffled),-0.0007704958940517592
2,200,+ data-derived graph,-0.0006474925381851904
2,200,+ data-derived (shuffled),-0.0006474925381851904
2,600,effect magnitude,-6.225264955994625e-05
2,600,+ literature graph,0.00023093595690459878
2,600,+ literature (shuffled),-6.168392256000743e-05
2,600,+ data-derived graph,0.00023091956520582269
2,600,+ data-derived (shuffled),0.00023094660615752272
2,2000,effect magnitude,-6.184960995581079e-06
2,2000,+ literature graph,0.00014612535648295122
2,2000,+ literature (shuffled),-5.469469974039853e-06
2,2000,+ data-derived graph,0.00015788153383000658
2,2000,+ data-derived (shuffled),0.0001488202037887021
2,6000,effect magnitude,-6.787649792938666e-05
2,6000,+ literature graph,0.0011237595841085968
2,6000,+ literature (shuffled),-6.92269673165935e-05
2,6000,+ data-derived graph,0.0011494033658544511
2,6000,+ data-derived (shuffled),0.001117655196688938
2,20000,effect magnitude,1.3669832180318586e-05
2,20000,+ literature graph,0.0014065470654558432
2,20000,+ literature (shuffled),-2.2001046842579086e-05
2,20000,+ data-derived graph,0.002593796575979357
2,20000,+ data-derived (shuffled),0.0012976190188506154
2,60000,effect magnitude,0.00016281988544342152
2,60000,+ literature graph,0.0016494248201712747
2,60000,+ literature (shuffled),-1.4793222000486494e-05
2,60000,+ data-derived graph,0.01956356248265101
2,60000,+ data-derived (shuffled),0.0015946779810525058
2,86953,effect magnitude,0.00018883241117384486
2,86953,+ literature graph,0.0016627723518397586
2,86953,+ literature (shuffled),0.00014690797964789226
2,86953,+ data-derived graph,0.027398804940533372
2,86953,+ data-derived (shuffled),0.0016692111398086684
