tag,split,seed,relations,use_graph,project,shrink_tau,shuffle_graph,global_scale,alpha,scale,s1_pearson,s1_r2,pearson,r2,epochs,wall_s,w_regulatory,w_ppi,w_cofunctional,w_profile
main,1,0,regulatory+ppi+cofunctional+profile,True,True,1.0,False,True,1000.0,0.6451727747917175,0.49952420592308044,0.2610759735107422,0.37143781781196594,0.10531151294708252,311,85.9,0.23095017671585083,0.30086496472358704,0.27588069438934326,0.19230420887470245
main,1,1,regulatory+ppi+cofunctional+profile,True,True,1.0,False,True,1000.0,0.8029230833053589,0.49952420592308044,0.24346888065338135,0.37143778800964355,0.11611825227737427,261,73.1,0.25336703658103943,0.24703460931777954,0.2635135054588318,0.23608483374118805
main,1,2,regulatory+ppi+cofunctional+profile,True,True,1.0,False,True,1000.0,0.7488330006599426,0.49952420592308044,0.2531113624572754,0.37143781781196594,0.10988128185272217,261,73.9,0.23496288061141968,0.26337701082229614,0.2538136839866638,0.24784643948078156
ridge,1,0,regulatory+ppi+cofunctional+profile,False,True,1.0,False,True,1000.0,0.6451727747917175,0.49952420592308044,0.2610759735107422,0.49952420592308044,0.2610759735107422,0,72.6,,,,
main,2,0,regulatory+ppi+cofunctional+profile,True,True,1.0,False,True,1000.0,0.8093975782394409,0.5575173497200012,0.36117124557495117,0.39073097705841064,0.10433465242385864,281,81.4,0.22347167134284973,0.28520190715789795,0.27249523997306824,0.21883118152618408
main,2,1,regulatory+ppi+cofunctional+profile,True,True,1.0,False,True,1000.0,0.7955924272537231,0.5575173497200012,0.36304962635040283,0.39073097705841064,0.11786794662475586,261,80.3,0.25003233551979065,0.2541234791278839,0.26352569460868835,0.2323184758424759
main,2,2,regulatory+ppi+cofunctional+profile,True,True,1.0,False,True,1000.0,0.7396764755249023,0.5575173497200012,0.3678044080734253,0.39073097705841064,0.09779506921768188,301,78.6,0.2492460012435913,0.2682914435863495,0.2691776752471924,0.2132849544286728
ridge,2,0,regulatory+ppi+cofunctional+profile,False,True,1.0,False,True,1000.0,0.8093975782394409,0.5575173497200012,0.36117124557495117,0.5575173497200012,0.36117124557495117,0,75.0,,,,
main,3,0,regulatory+ppi+cofunctional+profile,True,True,1.0,False,True,1000.0,0.7380110025405884,0.4718060791492462,0.27506202459335327,0.3750047981739044,0.09596908092498779,651,79.1,0.28049811720848083,0.2954176366329193,0.2746351957321167,0.1494491845369339
main,3,1,regulatory+ppi+cofunctional+profile,True,True,1.0,False,True,1000.0,0.7600377798080444,0.4718060791492462,0.2749614119529724,0.37500476837158203,0.10367482900619507,581,76.8,0.24659639596939087,0.29436737298965454,0.3168308734893799,0.1422053426504135
main,3,2,regulatory+ppi+cofunctional+profile,True,True,1.0,False,True,1000.0,0.6986286640167236,0.4718060791492462,0.27404123544692993,0.3750047981739044,0.08638560771942139,461,103.0,0.28060945868492126,0.2965424954891205,0.258502334356308,0.16434572637081146
ridge,3,0,regulatory+ppi+cofunctional+profile,False,True,1.0,False,True,1000.0,0.7380110025405884,0.4718060791492462,0.27506202459335327,0.4718060791492462,0.27506202459335327,0,107.2,,,,
main,4,0,regulatory+ppi+cofunctional+profile,True,True,1.0,False,True,1000.0,0.8431176543235779,0.40611958503723145,0.16904860734939575,0.345452219247818,0.09645181894302368,261,101.1,0.23712997138500214,0.26887938380241394,0.25177788734436035,0.24221275746822357
main,4,1,regulatory+ppi+cofunctional+profile,True,True,1.0,False,True,1000.0,0.7686960697174072,0.40611958503723145,0.18121838569641113,0.3454522490501404,0.09507870674133301,271,116.9,0.24428455531597137,0.26875680685043335,0.26539498567581177,0.22156372666358948
main,4,2,regulatory+ppi+cofunctional+profile,True,True,1.0,False,True,1000.0,0.7564636468887329,0.40611958503723145,0.18271684646606445,0.3454522490501404,0.08654665946960449,281,111.6,0.2325037568807602,0.2795566916465759,0.2689853012561798,0.21895428001880646
ridge,4,0,regulatory+ppi+cofunctional+profile,False,True,1.0,False,True,1000.0,0.8431176543235779,0.40611958503723145,0.16904860734939575,0.40611958503723145,0.16904860734939575,0,87.4,,,,
main,5,0,regulatory+ppi+cofunctional+profile,True,True,1.0,False,True,1000.0,0.7532162666320801,0.5042113065719604,0.3010427951812744,0.3710404336452484,0.11387944221496582,281,90.3,0.2292066365480423,0.28748369216918945,0.264821857213974,0.21848781406879425
main,5,1,regulatory+ppi+cofunctional+profile,True,True,1.0,False,True,1000.0,0.7716485857963562,0.5042113065719604,0.3030853271484375,0.3710404336452484,0.10013645887374878,261,90.1,0.24108178913593292,0.25895196199417114,0.2667958736419678,0.23317040503025055
main,5,2,regulatory+ppi+cofunctional+profile,True,True,1.0,False,True,1000.0,0.7633307576179504,0.5042113065719604,0.30219507217407227,0.3710404336452484,0.11396211385726929,261,94.3,0.23685450851917267,0.26917383074760437,0.25477734208106995,0.23919424414634705
ridge,5,0,regulatory+ppi+cofunctional+profile,False,True,1.0,False,True,1000.0,0.7532162666320801,0.5042113065719604,0.3010427951812744,0.5042113065719604,0.3010427951812744,0,96.2,,,,
